Tick,Population,Active%,Dormant%,Stress%,AverageFitness,AverageATP,AverageGrowth,AverageDosR,Generation,LivingLineages
100,1,0.0,100.0,0.0,15.066224389991755,0.0,0.0,0.0,0,1
200,1,0.0,100.0,0.0,15.066224389991755,0.0,0.0,0.0,0,1
300,1,0.0,100.0,0.0,15.066224389991755,0.0,0.0,0.0,0,1
400,1,0.0,100.0,0.0,15.066224389991755,0.0,0.0,0.0,0,1
500,1,0.0,100.0,0.0,15.066224389991755,0.0,0.0,0.0,0,1
600,1,0.0,100.0,0.0,15.066224389991755,0.0,0.0,0.0,0,1
700,4,0.0,0.0,100.0,12.300066354101734,0.22848274221094714,0.20655873169755434,0.7058660642172295,0,4
800,1,0.0,0.0,100.0,12.295471524187132,0.0,0.0,0.0,0,1
900,1,0.0,0.0,100.0,12.295471524187132,0.0,0.0,0.0,0,1
1000,1,0.0,0.0,100.0,12.193107663667929,0.0,0.0,0.0,0,1
1100,1,0.0,0.0,100.0,12.193107663667929,0.0,0.0,0.0,0,1
1200,1,0.0,0.0,100.0,12.17009919590532,0.0,0.0,0.0,0,1
1300,47,21.27659574468085,0.0,78.72340425531915,7.274780632745589,0.2846070400448605,0.10081165883746253,0.6914401000114547,0,47
1400,128,0.0,18.75,81.25,12.19704280160072,0.13312074199984597,0.1147046616148251,0.710987415401016,0,128
1500,197,0.0,23.85786802030457,76.14213197969544,12.416599638473107,0.16850444619902513,0.10724488307162612,0.7137722258535056,0,197
1600,200,0.0,24.0,76.0,12.438375559195077,0.16574793750911,0.09890213604489687,0.7076552894732322,0,200
1700,320,0.0,21.875,78.125,12.439428912927387,0.14959157989853422,0.0954995846315264,0.7108273652951144,0,320
1800,503,0.0,18.88667992047714,81.11332007952286,12.370930963418973,0.14764092888216146,0.09215180790329579,0.7106021844753364,0,503
1900,644,2.7950310559006213,25.46583850931677,71.73913043478261,12.395476374751818,0.1756338325199618,0.09450366645258887,0.7050727573517803,0,644
2000,782,0.0,25.06393861892583,74.93606138107417,12.499936071583521,0.17986672055361957,0.0958302774904591,0.7049424954167125,0,782
2100,914,0.0,24.61706783369803,75.38293216630197,12.33985407911195,0.17849569829478593,0.09520234681793509,0.7070359415974034,0,914
2200,1003,0.0,29.2123629112662,70.7876370887338,12.736559920686489,0.19328416696603265,0.11779666933425186,0.6934223509742516,0,1003
2300,1051,0.0,34.0627973358706,65.9372026641294,12.94027958254079,0.20412469383349469,0.1045733604015889,0.7070099413432174,0,1051
2400,1144,0.6118881118881119,94.14335664335664,5.244755244755245,13.145332794139069,0.29966502427402436,0.11121369725674914,0.6995957772423214,0,1144
2500,1244,0.3215434083601286,91.88102893890675,7.797427652733119,13.648432910356352,0.42644654111476166,0.1186483743531351,0.6918240917600028,0,1244
2600,1354,0.0,92.39290989660266,7.607090103397341,14.057169971791708,0.4359146101375912,0.125451070811888,0.6918448677220718,0,1354
2700,1504,0.06648936170212766,92.22074468085107,7.712765957446808,14.365095032886929,0.43553342315478255,0.13268029342633503,0.691927799823914,0,1504
2800,1641,0.0,94.02803168799512,5.971968312004875,14.759099618571932,0.4381085908922433,0.13728162448703893,0.6925557614852553,0,1641
2900,1727,0.5211349160393747,95.65720903300522,3.821656050955414,15.316042772090885,0.4498049803323872,0.13760964858092734,0.6933306105906486,0,1727
3000,1872,0.0,96.31410256410257,3.6858974358974357,15.743951503062343,0.45858277112181073,0.14219581516774163,0.6913765287179805,0,1872
3100,1944,0.0,98.66255144032922,1.337448559670782,16.30381920162024,0.47049640489674355,0.1444179489758896,0.6906296066148704,0,1944
3200,2003,0.0,99.10134797803295,0.8986520219670494,16.868770419097185,0.4733833841255209,0.14563034535263497,0.6905737293208752,0,2003
3300,1997,0.0,99.949924887331,0.0500751126690035,17.618580509174297,0.4909478971360672,0.14636918189798728,0.6891874507948555,0,1997
3400,2011,0.0,99.60218796618598,0.39781203381402286,18.243341453645847,0.49418453848842675,0.14698189193007635,0.6886161454758876,0,2011
3500,1994,0.0,99.89969909729187,0.10030090270812438,18.946984387654908,0.49681404861499906,0.14667991848035697,0.6882146769944089,0,1994
3600,1995,0.0,99.09774436090225,0.9022556390977443,19.551981521704796,0.4882142243773843,0.14623453747325058,0.689160960357371,0,1995
3700,1992,0.0,99.14658634538152,0.8534136546184738,20.0942733595533,0.488807643494427,0.1461506943283284,0.6891039144357017,0,1992
3800,2004,0.0,99.7005988023952,0.2994011976047904,20.65412741708853,0.49021532883238444,0.14636920183063756,0.6887033981006944,0,2004
3900,2000,0.0,99.65,0.35,21.19364525612036,0.49368584221978923,0.1466557879745125,0.6877332428615547,0,2000
4000,2017,0.0,99.15716410510659,0.842835894893406,21.53325149253952,0.4927304619875923,0.147357656776387,0.687350775250644,0,2017
4100,2011,0.0,99.45300845350572,0.5469915464942815,22.09066695762673,0.49541954108714675,0.14719957261277475,0.6872373130689552,0,2011
4200,2011,0.0,99.00546991546494,0.9945300845350572,22.529465439682625,0.4925433682569531,0.14678956517462494,0.6881225187484417,0,2011
4300,1996,0.0,99.34869739478958,0.6513026052104208,22.960579884953624,0.4910650536111618,0.14646906324933454,0.6881125427712811,0,1996
4400,2006,0.0,98.9531405782652,1.0468594217347955,23.22772455223989,0.4928562800944469,0.14690822499830133,0.6878789279984547,0,2006
4500,2005,0.0,99.50124688279301,0.49875311720698257,23.406720231012397,0.4933222029795812,0.1466691935125942,0.6885306748004455,0,2005
4600,2011,0.09945300845350571,98.95574341123819,0.9448035803083044,23.57096828116118,0.4936165919877159,0.14693788089909443,0.6879340312401564,0,2011
4700,2006,0.0,99.95014955134596,0.049850448654037885,23.79617549613208,0.4959658794755841,0.1468082013178702,0.6880090010334345,0,2006
4800,2017,0.0,99.50421417947447,0.495785820525533,23.778440080387764,0.4925181534821106,0.14689991168665345,0.687900168171736,0,2017
4900,2008,0.0,99.45219123505976,0.547808764940239,23.920338915693037,0.49660775765412923,0.14685248810848053,0.6876036703151398,0,2008
5000,2008,0.0,99.9003984063745,0.099601593625498,23.999282154442188,0.4980425431646334,0.14691847155806753,0.6870592212648157,0,2008
