Tick,Population,Active%,Dormant%,Stress%,AverageFitness,AverageATP,AverageGrowth,AverageDosR,Generation,LivingLineages
100,1,0.0,0.0,100.0,14.988195484663445,0.0,0.0,0.0,0,1
200,1,0.0,0.0,100.0,14.988195484663445,0.0,0.0,0.0,0,1
300,1,0.0,0.0,100.0,14.988195484663445,0.0,0.0,0.0,0,1
400,1,0.0,0.0,100.0,14.988195484663445,0.0,0.0,0.0,0,1
500,2,0.0,0.0,100.0,12.209055925569889,0.2052336300026328,0.09827324278150973,0.7252902734256876,0,2
600,1,0.0,0.0,100.0,12.444052012505711,0.1664426236731526,0.1803973265559704,0.8393793845208345,0,1
700,1,0.0,0.0,100.0,12.183492887724057,0.0,0.0,0.0,0,1
800,1,0.0,0.0,100.0,12.183492887724057,0.0,0.0,0.0,0,1
900,1,0.0,0.0,100.0,12.102897250497534,0.0,0.0,0.0,0,1
1000,61,4.918032786885246,0.0,95.08196721311475,12.306037539980597,0.25171807402610025,0.18905406312254208,0.6936129976565858,0,61
1100,158,8.227848101265822,9.49367088607595,82.27848101265823,12.312290900168943,0.17332611399246609,0.10922595399433564,0.7012713711182874,0,158
1200,233,0.0,35.1931330472103,64.8068669527897,12.429352068400629,0.21721707296647094,0.12172052973416272,0.6964677632648707,0,233
1300,262,0.0,27.862595419847327,72.13740458015268,12.477619313774486,0.17023079871674496,0.0963067866067188,0.7030613201279272,0,262
1400,288,2.4305555555555554,17.708333333333332,79.86111111111111,12.388638887467476,0.1419808559372267,0.07746201767064433,0.7116329850101165,0,288
1500,474,0.0,24.261603375527425,75.73839662447257,12.38907299788382,0.1545333051536105,0.09687192450490616,0.7113679013206095,0,474
1600,580,0.0,27.93103448275862,72.06896551724138,12.505499971785003,0.16818289769164552,0.10184182954242445,0.7109325762388871,0,580
1700,737,1.0854816824966078,30.936227951153324,67.97829036635007,12.740585861011656,0.21030676030073453,0.11851921644877123,0.7060691347340337,0,737
1800,798,0.0,41.97994987468672,58.02005012531328,13.03483585680092,0.2344686948262552,0.12429744901206365,0.7027330538603508,0,798
1900,970,0.0,44.94845360824742,55.05154639175258,13.011206034526062,0.2717324849268024,0.14912590817581312,0.6869050093552318,0,970
2000,1198,0.0,79.04841402337229,20.95158597662771,13.617316132633452,0.3556915113286301,0.14263690237938886,0.696908184938811,0,1198
2100,1269,0.0,89.2828999211978,10.717100078802206,14.155480595262265,0.4051084731243254,0.14252381081293533,0.6933034892699701,0,1269
2200,1312,0.3048780487804878,89.86280487804878,9.832317073170731,14.690299105324673,0.4083317608317887,0.14370709579394528,0.6929573062835583,0,1312
2300,1399,0.0,90.56468906361687,9.43531093638313,15.101133855033295,0.4280287034194895,0.14682476690007634,0.6905446794048177,0,1399
2400,1504,0.0,91.09042553191489,8.909574468085106,15.48029773109828,0.4504066724843378,0.14965805278989786,0.6883741211333454,0,1504
2500,1620,0.0,92.77777777777777,7.222222222222222,15.755053358514438,0.45579124377286656,0.14880704464244823,0.6892700949739093,0,1620
2600,1817,0.0,90.53384700055035,9.466152999449642,16.193013428357382,0.45652190308855334,0.15027641013144866,0.6893142822456683,0,1817
