Tick,Population,Active%,Dormant%,Stress%,AverageFitness,AverageATP,AverageGrowth,AverageDosR,AverageCPPNFitness,BestCPPNFitness,AverageGRNWeight,Species,LargestSpecies,AverageSpeciesSize,Generation,LivingLineages,AverageNovelty,NoveltyArchiveSize,ParetoFronts,BestFrontSize,AverageParetoRank
100,1,0.0,0.0,100.0,0.45742998609837937,0.0,0.0,0.0,0.45742998609837937,0.45742998609837937,0.8300016645795697,2,1,0.5,0,1
200,1,0.0,0.0,100.0,0.45742998609837937,0.0,0.0,0.0,0.45742998609837937,0.45742998609837937,0.8300016645795697,2,1,0.5,0,1
300,1,0.0,0.0,100.0,0.45742998609837937,0.0,0.0,0.0,0.45742998609837937,0.45742998609837937,0.8300016645795697,2,1,0.5,0,1
400,1,0.0,0.0,100.0,0.451908378567628,0.0,0.0,0.0,0.451908378567628,0.451908378567628,0.8309611532971213,20,1,0.05,0,1
500,19,0.0,0.0,100.0,0.0,0.36427735403214595,0.13592682164928155,0.75422717434227,0.0,0.0,0.6156321467382567,19,1,1.0,0,19
600,1,0.0,0.0,100.0,0.3560868949355196,0.0,0.0,0.0,0.3560868949355196,0.3560868949355196,0.5670168170661299,6,1,0.16666666666666666,0,1
700,15,0.0,0.0,100.0,0.37637611464342047,0.17395336666544975,0.2287489861329157,0.6171447874840055,0.37637611464342047,0.4347351615110288,0.5976441127313971,16,1,0.9375,0,15
800,1,0.0,0.0,100.0,0.33894616584962567,0.0,0.0,0.0,0.33894616584962567,0.33894616584962567,0.6306497022179641,3,1,0.3333333333333333,0,1
900,5,0.0,0.0,100.0,0.388126260034144,0.16852061594550072,0.20568472421080347,0.569365226343095,0.388126260034144,0.41661188201082316,0.5908022711434737,8,1,0.625,0,5
1000,3,0.0,0.0,100.0,0.5050354394037585,0.24126074509555184,0.1202096436927018,0.9786544609884268,0.5050354394037585,0.5052237805909923,0.7515585576074516,40,1,0.075,0,3
1100,32,0.0,0.0,100.0,0.4500643487460946,0.16637876727946327,0.17882508521934817,0.6410280388899717,0.4500643487460946,0.5864362033506834,0.5900963605598154,49,1,0.6530612244897959,0,32
1200,164,0.0,17.073170731707318,82.92682926829268,0.4480338441427235,0.21773363318188282,0.18210690430397886,0.6597826125816154,0.4480338441427235,0.6649964364636547,0.6192592226758243,166,1,0.9879518072289156,0,164
1300,269,0.0,21.561338289962826,78.43866171003718,0.3947760215796303,0.16480645043449793,0.15180912336740277,0.6642566174268807,0.3947760215796303,0.6718890100645466,0.609491197543944,274,1,0.9817518248175182,0,269
1400,301,0.0,32.89036544850498,67.10963455149502,0.4184120644574065,0.20074464667780154,0.15557286351484934,0.6736973766720475,0.4184120644574065,0.6823703630780614,0.608906390694402,302,1,0.9966887417218543,0,301
1500,430,2.558139534883721,46.27906976744186,51.16279069767442,0.43694871014929265,0.26422395823555633,0.16725479861245787,0.6685114822505932,0.43694871014929265,0.6903353972223899,0.6133068219880095,437,1,0.9839816933638444,0,430
