Tick,Population,Active%,Dormant%,Stress%,AverageFitness,AverageATP,AverageGrowth,AverageDosR,Generation,LivingLineages
100,1,0.0,0.0,100.0,14.991268827055654,0.0,0.0,0.0,0,1
200,1,0.0,0.0,100.0,14.991268827055654,0.0,0.0,0.0,0,1
300,1,0.0,0.0,100.0,14.991268827055654,0.0,0.0,0.0,0,1
400,1,0.0,0.0,100.0,14.991268827055654,0.0,0.0,0.0,0,1
500,1,0.0,0.0,100.0,12.123011186629267,0.0,0.0,0.0,0,1
600,1,0.0,0.0,100.0,12.123011186629267,0.0,0.0,0.0,0,1
700,1,0.0,0.0,100.0,12.26793320596585,0.0,0.0,0.0,0,1
800,3,100.0,0.0,0.0,12.326600438136163,0.0,0.0,0.0,0,3
900,3,100.0,0.0,0.0,12.326600438136163,0.0,0.0,0.0,0,3
1000,25,16.0,0.0,84.0,12.172949427833634,0.19241367475061716,0.047756541552228804,0.740251409272187,0,25
1100,82,0.0,0.0,100.0,11.933836772671427,0.04499999999999996,0.04883508092532735,0.722594462716753,0,82
1200,120,0.0,0.0,100.0,11.949795532348254,0.07832366792054198,0.0497104847662424,0.7219231187837435,0,120
1300,262,0.0,0.0,100.0,11.897964758760054,0.045223466387114754,0.049690394843087536,0.7195005461403406,0,262
1400,473,0.0,0.42283298097251587,99.57716701902748,11.396748749180968,0.05999090972576895,0.05519968333832771,0.7165844020723725,0,473
1500,755,0.5298013245033113,1.3245033112582782,98.1456953642384,11.870425397293669,0.058606015941219156,0.054946290572286366,0.7192884176003889,0,755
1600,918,0.0,0.5446623093681917,99.45533769063181,11.802255892287166,0.05041060524778194,0.04972209952925177,0.7208759593879742,0,918
1700,1078,0.0,0.0,100.0,11.737330700867444,0.047828175039109876,0.04907699007400471,0.7190233099203793,0,1078
1800,1228,0.0,0.16286644951140064,99.8371335504886,11.495910232811298,0.05038344748302542,0.05061219471335937,0.719393989679551,0,1228
1900,1321,0.0,0.6056018168054504,99.39439818319455,11.618819107939498,0.047776010268301417,0.05003786576613773,0.7185478996502012,0,1321
2000,1526,0.0,0.0655307994757536,99.93446920052425,11.582021226949378,0.04576030984108952,0.04917756570784212,0.7187964651256052,0,1526
2100,1639,0.0,0.12202562538133008,99.87797437461867,11.533981615195735,0.05272819505982213,0.06196108951484289,0.7112331451766185,0,1639
2200,1832,0.0,3.3842794759825328,96.61572052401746,11.545024201760205,0.06387784866138449,0.0569021836182738,0.7175623054000875,0,1832
2300,1944,1.02880658436214,2.05761316872428,96.91358024691358,11.477399832139982,0.05932334842425468,0.05342995071252331,0.718463603071745,0,1944
2400,2015,0.0,1.836228287841191,98.1637717121588,11.386611171921821,0.05244092633961068,0.05172932378592253,0.7185030142402918,0,2015
2500,2006,0.0,1.0967098703888336,98.90329012961116,11.281143748699467,0.04979746548842811,0.05057317376311739,0.718892272881309,0,2006
2600,1998,0.0,0.7007007007007007,99.29929929929929,11.171939231582222,0.04783028212469377,0.04990858341575295,0.7188977894442458,0,1998
